Age,Monthly_Income,Profession,City_Type,Household_Size,Weekly_Activity_Freq,Sports_Played,Owns_Equipment,Equipment_Owned,Purchase_Channel,Importance_Quality,Importance_Price,Importance_Brand,Importance_Speed,Importance_Sustainability,Importance_Customization,Importance_BundleDeals,Monthly_Equipment_Budget,Willingness_To_Use_App,Influenced_By_Sustainability,Satisfaction_Current_Buying,Purchase_Influencers,Purchase_Challenges,Preference_Rent_Over_Buy,Knowledge_Level,Willing_To_Recommend
56,46734,Athlete,Tier 2,3,1-2 times,"['Football', 'Cricket', 'Gym', 'Basketball']",Yes,[],Offline,5,2,2,3,2,4,3,2765,Neutral,No,3,"['Loyalty rewards', 'Fitness events', 'Personalized discounts']","['Expensive pricing', 'Not eco-friendly']",Yes,Intermediate,Definitely
46,66481,Student,Tier 2,1,5+ times,"['Tennis', 'Football']",No,"['Rackets', 'Balls', 'Weights']",Both,5,3,5,4,3,5,5,3859,Very Likely,Yes,1,"['Loyalty rewards', 'Buy-back offers', 'Smart recommendations']",['Poor quality'],Maybe,Beginner,Definitely
32,62381,Athlete,Metro,4,3-4 times,['Basketball'],Yes,['Shoes'],Online,3,4,4,4,4,3,4,1986,Likely,Yes,4,"['Smart recommendations', 'Same-day delivery', 'Loyalty rewards']",['Expensive pricing'],No,Intermediate,Probably
25,62202,Homemaker,Tier 2,5,3-4 times,"['Football', 'Gym']",No,['Shoes'],Both,4,5,3,5,3,2,4,2404,Likely,Yes,1,"['Personalized discounts', 'Fitness events', 'Buy-back offers']","['Poor personalization', 'Expensive pricing', 'Not eco-friendly', 'No bundling']",Yes,Expert,Definitely
38,69582,Retired,Tier 3,5,3-4 times,"['Football', 'Badminton']",Yes,[],Offline,4,3,2,4,5,5,4,2067,Likely,No,2,"['Loyalty rewards', 'Personalized discounts', 'Smart recommendations']",['Poor personalization'],Maybe,Intermediate,Not Sure
56,50315,Student,Metro,2,3-4 times,"['Cycling', 'Cricket', 'Running']",Yes,"['Nets', 'Weights']",Offline,4,4,1,3,4,5,3,1429,Very Unlikely,No,4,"['Buy-back offers', 'Smart recommendations', 'Same-day delivery']","['Not eco-friendly', 'Limited stock', 'No bundling', 'Poor quality']",No,Intermediate,Definitely
36,60229,Homemaker,Metro,2,1-2 times,"['Football', 'Running']",Yes,['Shoes'],Online,5,3,4,5,3,5,3,543,Likely,Yes,1,"['Buy-back offers', 'Fitness events', 'Personalized discounts']","['Poor personalization', 'None', 'Not eco-friendly']",No,Beginner,Definitely
40,45345,Working Professional,Tier 3,5,1-2 times,"['Tennis', 'Badminton', 'Cycling']",Yes,"['Weights', 'Balls']",Online,3,4,5,3,1,4,5,1435,Likely,No,4,"['Buy-back offers', 'Smart recommendations', 'Personalized discounts']","['Late delivery', 'None', 'Poor personalization', 'Expensive pricing']",Yes,Expert,Definitely
28,54862,Student,Metro,5,3-4 times,"['Cricket', 'Badminton', 'Football', 'Cycling']",Yes,['Shoes'],Online,4,3,3,5,2,3,2,886,Neutral,No,3,"['Personalized discounts', 'Fitness events', 'Buy-back offers']",['Late delivery'],Maybe,Intermediate,Definitely Not
28,48047,Homemaker,Tier 3,4,5+ times,['Cycling'],Yes,['Yoga Mats'],Online,5,4,1,5,3,5,3,3363,Unlikely,Yes,1,"['Fitness events', 'Buy-back offers', 'Loyalty rewards']","['Poor quality', 'Limited stock', 'Not eco-friendly']",Yes,Intermediate,Probably
41,51454,Working Professional,Metro,3,1-2 times,"['Tennis', 'Running']",Yes,"['Rackets', 'Shoes']",Online,4,3,5,4,3,4,5,1907,Unlikely,Yes,2,"['Smart recommendations', 'Buy-back offers', 'Same-day delivery']","['Limited stock', 'Poor personalization', 'Expensive pricing', 'Not eco-friendly']",Yes,Intermediate,Definitely
53,58927,Athlete,Metro,2,1-2 times,['Badminton'],Yes,"['Weights', 'Shoes', 'Nets']",Offline,3,4,5,3,1,3,5,1723,Very Likely,Maybe,4,"['Smart recommendations', 'Same-day delivery', 'Fitness events']",['No bundling'],Maybe,Intermediate,Definitely
57,37726,Retired,Tier 3,3,3-4 times,"['Cricket', 'Cycling']",Yes,['Rackets'],Online,4,3,2,5,5,3,2,2711,Likely,No,5,"['Same-day delivery', 'Fitness events', 'Buy-back offers']","['Limited stock', 'Not eco-friendly', 'Poor personalization']",Maybe,Intermediate,Definitely
41,81385,Working Professional,Metro,4,5+ times,['Basketball'],No,['Yoga Mats'],Both,3,5,2,4,2,4,4,1102,Unlikely,Maybe,4,"['Loyalty rewards', 'Fitness events', 'Personalized discounts']","['Late delivery', 'Poor quality', 'Expensive pricing', 'Not eco-friendly']",Maybe,Intermediate,Probably
20,34909,Business Owner,Tier 2,5,1-2 times,"['Cycling', 'Basketball']",No,"['Nets', 'Balls']",Offline,3,5,1,5,3,4,5,1386,Likely,Yes,5,"['Smart recommendations', 'Buy-back offers', 'Eco-friendly packaging']",['Poor quality'],No,Intermediate,Definitely
39,31787,Working Professional,Metro,3,3-4 times,"['Badminton', 'Football']",No,"['Shoes', 'Yoga Mats', 'Balls']",Offline,4,2,5,5,4,5,5,2054,Likely,Maybe,2,"['Buy-back offers', 'Fitness events', 'Same-day delivery']",['Expensive pricing'],No,Expert,Probably
19,67371,Working Professional,Tier 2,5,5+ times,"['Tennis', 'Cycling']",Yes,['Nets'],Online,4,4,2,5,3,3,5,2823,Very Likely,Yes,3,"['Eco-friendly packaging', 'Fitness events', 'Buy-back offers']","['Poor personalization', 'Poor quality']",Maybe,Expert,Probably
